Regio;Bevolking;Onderwijsniveau 5 categorieën|11 Basisonderwijs;Onderwijsniveau 5 categorieën|12 Vmbo, havo-, vwo-onderbouw, mbo1;Onderwijsniveau 5 categorieën|21 Havo, vwo, mbo2-4;Onderwijsniveau 5 categorieën|31 Hbo-, wo-bachelor;Onderwijsniveau 5 categorieën|32 Hbo-, wo-master, doctor
Nederland;13419100;8,6;17,6;41,7;20,1;11,9
Noord-Nederland (LD);1320800;7,7;18,3;46,8;19,2;8,1
Oost-Nederland (LD);2821900;8,3;18,4;44;19,8;9,6
West-Nederland (LD);6438200;8,8;16,8;39,4;20,4;14,6
Zuid-Nederland (LD);2838200;9,1;18,5;42,5;20;9,9
Groningen (PV);459000;7,4;16,5;45,3;19,9;10,9
Fryslân (PV);489600;7,5;19,4;47,7;19,3;6,1
Drenthe (PV);372200;8,3;19;47,4;18,1;7,1
Overijssel (PV);886000;8,4;18,3;45,2;19,9;8,2
Flevoland (PV);336500;8,5;18,8;46,2;19;7,6
Gelderland (PV);1599400;8,2;18,4;42,8;19,9;10,7
Utrecht (PV);1041300;7,4;15,3;36,7;22,2;18,4
Noord-Holland (PV);2248600;8,2;15,8;38,2;21,4;16,3
Zuid-Holland (PV);2861200;9,8;17,7;40,4;19,3;12,7
Zeeland (PV);287000;8,1;20,2;47,8;17,5;6,4
Noord-Brabant (PV);1982900;8,7;18,3;42;20,6;10,5
Limburg (PV);855200;10;19,1;43,6;18,7;8,6
Bron: CBS;;;;;;
